second,Volt1,Volt2
-75.000E-03,+518.247E-03,+769.600E-03
-73.350E-03,+519.728E-03,+769.674E-03
-71.700E-03,+523.273E-03,+770.102E-03
-70.050E-03,+523.273E-03,+770.102E-03
-68.400E-03,+528.298E-03,+770.353E-03
-66.750E-03,+528.298E-03,+770.605E-03
-65.100E-03,+528.298E-03,+770.856E-03
-63.450E-03,+528.298E-03,+771.107E-03
-61.800E-03,+528.298E-03,+771.107E-03
-60.150E-03,+533.323E-03,+771.358E-03
-58.500E-03,+533.323E-03,+771.358E-03
-56.850E-03,+533.323E-03,+771.533E-03
-55.200E-03,+533.323E-03,+771.610E-03
-53.550E-03,+533.323E-03,+771.610E-03
-51.900E-03,+533.323E-03,+771.610E-03
-50.250E-03,+538.348E-03,+771.610E-03
-48.600E-03,+538.348E-03,+771.610E-03
-46.950E-03,+543.373E-03,+771.861E-03
-45.300E-03,+548.398E-03,+771.861E-03
-43.650E-03,+553.423E-03,+771.861E-03
-42.000E-03,+558.448E-03,+771.861E-03
-40.350E-03,+558.924E-03,+772.112E-03
-38.700E-03,+568.499E-03,+772.112E-03
-37.050E-03,+572.391E-03,+772.363E-03
-35.400E-03,+578.549E-03,+772.615E-03
-33.750E-03,+585.858E-03,+772.980E-03
-32.100E-03,+590.079E-03,+773.368E-03
-30.450E-03,+593.624E-03,+773.653E-03
-28.800E-03,+598.649E-03,+774.122E-03
-27.150E-03,+602.743E-03,+774.625E-03
-25.500E-03,+603.675E-03,+774.876E-03
-23.850E-03,+606.160E-03,+775.251E-03
-22.200E-03,+608.700E-03,+775.378E-03
-20.550E-03,+608.700E-03,+775.630E-03
-18.900E-03,+608.700E-03,+775.630E-03
-17.250E-03,+608.700E-03,+775.881E-03
-15.600E-03,+608.700E-03,+775.881E-03
-13.950E-03,+613.725E-03,+776.015E-03
-12.300E-03,+613.725E-03,+776.132E-03
-10.650E-03,+613.725E-03,+776.383E-03
-9.000E-03,+613.725E-03,+776.635E-03
-7.350E-03,+613.725E-03,+777.111E-03
-5.700E-03,+613.725E-03,+777.322E-03
-4.050E-03,+618.750E-03,+777.784E-03
-2.400E-03,+618.750E-03,+778.142E-03
-750E-06,+623.775E-03,+778.645E-03
+900E-06,+628.800E-03,+778.896E-03
+2.550E-03,+633.496E-03,+778.896E-03
+4.200E-03,+638.850E-03,+779.399E-03
+5.850E-03,+643.876E-03,+779.399E-03
+7.500E-03,+648.901E-03,+779.650E-03
+9.150E-03,+653.926E-03,+779.650E-03
+10.800E-03,+659.627E-03,+779.650E-03
+12.450E-03,+663.976E-03,+779.650E-03
+14.100E-03,+669.001E-03,+779.854E-03
+15.750E-03,+674.026E-03,+779.901E-03
+17.400E-03,+679.051E-03,+779.901E-03
+19.050E-03,+684.077E-03,+779.901E-03
+20.700E-03,+684.077E-03,+779.901E-03
+22.350E-03,+689.102E-03,+780.152E-03
+24.000E-03,+689.102E-03,+780.152E-03
+25.650E-03,+689.102E-03,+780.327E-03
+27.300E-03,+689.102E-03,+780.538E-03
+28.950E-03,+689.102E-03,+780.906E-03
+30.600E-03,+689.102E-03,+781.157E-03
+32.250E-03,+689.102E-03,+781.660E-03
+33.900E-03,+694.127E-03,+781.911E-03
+35.550E-03,+694.127E-03,+782.162E-03
+37.200E-03,+694.127E-03,+782.665E-03
+38.850E-03,+694.127E-03,+782.916E-03
+40.500E-03,+694.127E-03,+783.167E-03
+42.150E-03,+699.152E-03,+783.419E-03
+43.800E-03,+699.152E-03,+783.419E-03
+45.450E-03,+703.044E-03,+783.670E-03
+47.100E-03,+704.177E-03,+783.670E-03
+48.750E-03,+709.202E-03,+783.670E-03
+50.400E-03,+714.227E-03,+783.921E-03
+52.050E-03,+719.253E-03,+783.921E-03
+53.700E-03,+724.278E-03,+784.172E-03
+55.350E-03,+733.396E-03,+784.172E-03
+57.000E-03,+739.353E-03,+784.424E-03
+58.650E-03,+744.378E-03,+784.675E-03
+60.300E-03,+749.403E-03,+784.926E-03
+61.950E-03,+754.428E-03,+785.429E-03
+63.600E-03,+759.454E-03,+785.680E-03
+65.250E-03,+763.748E-03,+786.182E-03
+66.900E-03,+764.479E-03,+786.434E-03
+68.550E-03,+764.479E-03,+786.685E-03
+70.200E-03,+769.504E-03,+787.188E-03
+71.850E-03,+769.504E-03,+787.241E-03
+73.500E-03,+769.504E-03,+787.439E-03
+75.150E-03,+769.504E-03,+787.690E-03
+76.800E-03,+769.504E-03,+787.690E-03
+78.450E-03,+769.504E-03,+787.690E-03
+80.100E-03,+769.504E-03,+787.794E-03
+81.750E-03,+774.529E-03,+787.941E-03
+83.400E-03,+774.529E-03,+787.941E-03
+85.050E-03,+774.529E-03,+787.941E-03
+86.700E-03,+774.529E-03,+788.193E-03
+88.350E-03,+774.529E-03,+788.347E-03
+90.000E-03,+776.813E-03,+788.695E-03
+91.650E-03,+779.554E-03,+788.769E-03
+93.300E-03,+780.230E-03,+789.198E-03
+94.950E-03,+784.579E-03,+789.449E-03
+96.600E-03,+788.672E-03,+789.905E-03
+98.250E-03,+794.629E-03,+790.203E-03
+99.900E-03,+799.655E-03,+790.578E-03
+101.550E-03,+804.680E-03,+790.956E-03
+103.200E-03,+814.730E-03,+791.208E-03
+104.850E-03,+819.755E-03,+791.459E-03
+106.500E-03,+824.780E-03,+791.459E-03
+108.150E-03,+829.805E-03,+791.710E-03
+109.800E-03,+832.491E-03,+791.710E-03
+111.450E-03,+839.856E-03,+791.710E-03
+113.100E-03,+840.934E-03,+791.710E-03
+114.750E-03,+844.881E-03,+791.961E-03
+116.400E-03,+844.881E-03,+791.961E-03
+118.050E-03,+849.906E-03,+791.961E-03
+119.700E-03,+849.906E-03,+791.961E-03
+121.350E-03,+849.906E-03,+792.213E-03
+123.000E-03,+849.906E-03,+792.464E-03
+124.650E-03,+849.906E-03,+792.739E-03
+126.300E-03,+854.602E-03,+792.966E-03
+127.950E-03,+854.931E-03,+793.218E-03
+129.600E-03,+854.931E-03,+793.720E-03
+131.250E-03,+854.931E-03,+793.971E-03
+132.900E-03,+854.931E-03,+794.297E-03
+134.550E-03,+854.931E-03,+794.759E-03
+136.200E-03,+859.956E-03,+794.976E-03
+137.850E-03,+859.956E-03,+795.432E-03
+139.500E-03,+864.981E-03,+795.392E-03
+141.150E-03,+867.521E-03,+795.479E-03
+142.800E-03,+870.006E-03,+795.730E-03
+144.450E-03,+875.909E-03,+795.730E-03
+146.100E-03,+885.082E-03,+795.730E-03
+147.750E-03,+889.376E-03,+795.730E-03
+149.400E-03,+895.132E-03,+795.730E-03
+151.050E-03,+902.843E-03,+795.981E-03
+152.700E-03,+908.325E-03,+795.981E-03
+154.350E-03,+914.154E-03,+795.981E-03
+156.000E-03,+915.506E-03,+795.981E-03
+157.650E-03,+920.258E-03,+795.981E-03
+159.300E-03,+925.283E-03,+796.233E-03
+160.950E-03,+925.283E-03,+796.233E-03
+162.600E-03,+927.366E-03,+796.337E-03
+164.250E-03,+930.308E-03,+796.484E-03
+165.900E-03,+930.308E-03,+796.735E-03
+167.550E-03,+930.308E-03,+796.986E-03
+169.200E-03,+930.308E-03,+797.181E-03
+170.850E-03,+930.308E-03,+797.392E-03
+172.500E-03,+930.308E-03,+797.740E-03
+174.150E-03,+935.333E-03,+797.992E-03
+175.800E-03,+935.333E-03,+798.243E-03
+177.450E-03,+935.333E-03,+798.249E-03
+179.100E-03,+935.333E-03,+797.992E-03
+180.750E-03,+932.044E-03,+797.489E-03
+182.400E-03,+930.308E-03,+797.238E-03
+184.050E-03,+930.308E-03,+796.735E-03
+185.700E-03,+930.308E-03,+796.484E-03
+187.350E-03,+930.308E-03,+796.480E-03
+189.000E-03,+930.308E-03,+796.233E-03
+190.650E-03,+930.308E-03,+796.058E-03
+192.300E-03,+925.283E-03,+795.981E-03
+193.950E-03,+925.283E-03,+795.981E-03
+195.600E-03,+920.258E-03,+795.981E-03
+197.250E-03,+919.983E-03,+795.981E-03
+198.900E-03,+915.232E-03,+795.757E-03
+200.550E-03,+910.207E-03,+795.730E-03
+202.200E-03,+905.182E-03,+795.730E-03
+203.850E-03,+895.132E-03,+795.730E-03
+205.500E-03,+890.107E-03,+795.730E-03
+207.150E-03,+884.607E-03,+795.730E-03
+208.800E-03,+880.057E-03,+795.479E-03
+210.450E-03,+871.139E-03,+795.479E-03
+212.100E-03,+870.006E-03,+795.325E-03
+213.750E-03,+864.981E-03,+795.113E-03
+215.400E-03,+859.956E-03,+794.976E-03
+217.050E-03,+859.956E-03,+794.725E-03
+218.700E-03,+854.931E-03,+794.474E-03
+220.350E-03,+854.931E-03,+794.018E-03
+222.000E-03,+854.931E-03,+793.807E-03
+223.650E-03,+854.931E-03,+793.596E-03
+225.300E-03,+854.931E-03,+793.218E-03
+226.950E-03,+854.931E-03,+792.966E-03
