second,Volt1,Volt2,Volt3
+2.365000E+00,,,
+2.366450E+00,+23.713E-03,-3.321451E+00,+1.074204E+00
+2.367900E+00,+23.747E-03,-3.325734E+00,+1.074204E+00
+2.369350E+00,+23.759E-03,-3.326476E+00,+1.074204E+00
+2.370800E+00,+23.762E-03,-3.329152E+00,+1.074204E+00
+2.372250E+00,+23.813E-03,-3.331501E+00,+1.074204E+00
+2.373700E+00,+23.854E-03,-3.332569E+00,+1.074204E+00
+2.375150E+00,+23.940E-03,-3.336526E+00,+1.074204E+00
+2.376600E+00,+23.988E-03,-3.336526E+00,+1.074204E+00
+2.378050E+00,+23.973E-03,-3.341551E+00,+1.074204E+00
+2.379500E+00,+23.977E-03,-3.341551E+00,+1.074204E+00
+2.380950E+00,+24.014E-03,-3.341551E+00,+1.074204E+00
+2.382400E+00,+24.055E-03,-3.346577E+00,+1.074204E+00
+2.383850E+00,+24.105E-03,-3.346577E+00,+1.074204E+00
+2.385300E+00,+24.178E-03,-3.346577E+00,+1.074204E+00
+2.386750E+00,+24.225E-03,-3.350458E+00,+1.074204E+00
+2.388200E+00,+24.218E-03,-3.351602E+00,+1.074204E+00
+2.389650E+00,+24.241E-03,-3.356627E+00,+1.074204E+00
+2.391100E+00,+24.291E-03,-3.356627E+00,+1.074204E+00
+2.392550E+00,+24.310E-03,-3.357292E+00,+1.074204E+00
+2.394000E+00,+24.379E-03,-3.361652E+00,+1.074204E+00
+2.395450E+00,+24.452E-03,-3.366677E+00,+1.074204E+00
+2.396900E+00,+24.516E-03,-3.366677E+00,+1.074204E+00
+2.398350E+00,+24.505E-03,-3.371702E+00,+1.074204E+00
+2.399800E+00,+24.525E-03,-3.373373E+00,+1.074204E+00
+2.401250E+00,+24.557E-03,-3.376727E+00,+1.074204E+00
+2.402700E+00,+24.568E-03,-3.381690E+00,+1.074204E+00
+2.404150E+00,+24.643E-03,-3.381752E+00,+1.074204E+00
+2.405600E+00,+24.702E-03,-3.385232E+00,+1.074204E+00
+2.407050E+00,+24.700E-03,-3.386778E+00,+1.074204E+00
+2.408500E+00,+24.726E-03,-3.391803E+00,+1.074204E+00
+2.409950E+00,+24.758E-03,-3.392870E+00,+1.074204E+00
+2.411400E+00,+24.746E-03,-3.396828E+00,+1.074204E+00
+2.412850E+00,+24.817E-03,-3.401853E+00,+1.074204E+00
+2.414300E+00,+24.878E-03,-3.405533E+00,+1.074204E+00
+2.415750E+00,+24.951E-03,-3.406878E+00,+1.074204E+00
+2.417200E+00,+24.946E-03,-3.411903E+00,+1.074204E+00
+2.418650E+00,+25.001E-03,-3.411903E+00,+1.074204E+00
+2.420100E+00,+24.974E-03,-3.411903E+00,+1.074204E+00
+2.421550E+00,+25.044E-03,-3.416589E+00,+1.074204E+00
+2.423000E+00,+25.077E-03,-3.416928E+00,+1.074204E+00
+2.424450E+00,+25.137E-03,-3.416928E+00,+1.074204E+00
+2.425900E+00,+25.170E-03,-3.421953E+00,+1.074204E+00
+2.427350E+00,+25.220E-03,-3.421953E+00,+1.074204E+00
+2.428800E+00,+25.235E-03,-3.422619E+00,+1.074204E+00
+2.430250E+00,+25.209E-03,-3.426979E+00,+1.074204E+00
