second,Volt1,Volt2,Volt3
-52.00000E-03,+625.10835E-03,-435.82755E-03,+622.85256E-03
-51.94800E-03,+624.92342E-03,-437.08383E-03,+622.85256E-03
-51.89600E-03,+624.58774E-03,-438.34012E-03,+622.85256E-03
-51.84400E-03,+624.37870E-03,-438.99338E-03,+622.85256E-03
-51.79200E-03,+624.18573E-03,-440.85268E-03,+622.85256E-03
-51.74000E-03,+623.94252E-03,-442.36022E-03,+622.85256E-03
-51.68800E-03,+623.74754E-03,-445.87780E-03,+622.85256E-03
-51.63600E-03,+623.55056E-03,-447.13409E-03,+622.85256E-03
-51.58400E-03,+623.41388E-03,-449.64665E-03,+622.85256E-03
-51.53200E-03,+623.17066E-03,-452.15921E-03,+622.85256E-03
-51.48000E-03,+623.00785E-03,-452.66172E-03,+622.85256E-03
-51.42800E-03,+622.78473E-03,-454.97328E-03,+622.85256E-03
-51.37600E-03,+622.74252E-03,-455.92806E-03,+622.85256E-03
-51.32400E-03,+622.69629E-03,-458.34012E-03,+622.85256E-03
-51.27200E-03,+622.65810E-03,-458.44062E-03,+622.85256E-03
-51.22000E-03,+622.61589E-03,-459.69690E-03,+622.85256E-03
-51.16800E-03,+622.59578E-03,-460.95318E-03,+622.85256E-03
-51.11600E-03,+622.64604E-03,-462.56122E-03,+622.85256E-03
-51.06400E-03,+622.69629E-03,-465.97831E-03,+622.85256E-03
-51.01200E-03,+622.79478E-03,-468.44062E-03,+622.85256E-03
-50.96000E-03,+622.97769E-03,-469.49590E-03,+622.85256E-03
-50.90800E-03,+623.29528E-03,-471.80745E-03,+622.85256E-03
-50.85600E-03,+623.57468E-03,-474.11901E-03,+622.85256E-03
-50.80400E-03,+624.05106E-03,-475.17429E-03,+622.85256E-03
-50.75200E-03,+624.42895E-03,-476.02856E-03,+622.85256E-03
-50.70000E-03,+625.10835E-03,-477.28484E-03,+622.85256E-03
-50.64800E-03,+625.82996E-03,-479.79740E-03,+622.85256E-03
-50.59600E-03,+626.56764E-03,-479.79740E-03,+622.85256E-03
-50.54400E-03,+627.32342E-03,-482.96323E-03,+622.85256E-03
-50.49200E-03,+627.92644E-03,-484.82253E-03,+622.85256E-03
-50.44000E-03,+628.28423E-03,-486.33007E-03,+622.85256E-03
-50.38800E-03,+628.27217E-03,-488.64162E-03,+622.85256E-03
-50.33600E-03,+627.92845E-03,-490.95318E-03,+622.85256E-03
-50.28400E-03,+627.36161E-03,-492.36022E-03,+622.85256E-03
-50.23200E-03,+626.66011E-03,-494.32002E-03,+622.85256E-03
-50.18000E-03,+625.88222E-03,-495.37529E-03,+622.85256E-03
-50.12800E-03,+624.95960E-03,-496.12906E-03,+622.85256E-03
-50.07600E-03,+624.02895E-03,-497.38534E-03,+622.85256E-03
-50.02400E-03,+623.02192E-03,-498.54112E-03,+622.85256E-03
-49.97200E-03,+622.01488E-03,-499.89790E-03,+622.85256E-03
-49.92000E-03,+621.09830E-03,-501.15419E-03,+622.85256E-03
-49.86800E-03,+620.17367E-03,-501.70695E-03,+622.85256E-03
-49.81600E-03,+619.35960E-03,-503.66675E-03,+622.85256E-03
-49.76400E-03,+618.39478E-03,-506.17931E-03,+622.85256E-03
-49.71200E-03,+617.53247E-03,-507.43559E-03,+622.85256E-03
-49.66000E-03,+616.76664E-03,-508.94313E-03,+622.85256E-03
-49.60800E-03,+615.98473E-03,-510.75218E-03,+622.85256E-03
-49.55600E-03,+615.33749E-03,-512.46072E-03,+622.85256E-03
-49.50400E-03,+614.72443E-03,-513.71700E-03,+622.85256E-03
-49.45200E-03,+614.07920E-03,-516.22956E-03,+622.85256E-03
-49.40000E-03,+613.50031E-03,-516.22956E-03,+622.85256E-03
-49.34800E-03,+613.01388E-03,-517.48584E-03,+622.85256E-03
-49.29600E-03,+612.47719E-03,-517.48584E-03,+622.85256E-03
-49.24400E-03,+612.06513E-03,-518.74213E-03,+622.85256E-03
-49.19200E-03,+611.50433E-03,-519.99841E-03,+622.85256E-03
-49.14000E-03,+611.06815E-03,-521.25469E-03,+622.85256E-03
-49.08800E-03,+610.68222E-03,-523.76725E-03,+622.85256E-03
-49.03600E-03,+610.29629E-03,-526.12906E-03,+622.85256E-03
-48.98400E-03,+609.91036E-03,-527.53610E-03,+622.85256E-03
-48.93200E-03,+609.60282E-03,-530.04866E-03,+622.85256E-03
-48.88000E-03,+609.23900E-03,-530.55117E-03,+622.85256E-03
