second,Volt,Volt,Volt,Volt4
-0.4,-0.072362,-0.009208,7.025754,0.009617
-0.395,-0.084925,-0.009208,9.827261,0.009617
-0.39,-0.072362,-0.004685,6.209171,0.010496
-0.385,-0.0799,0.006872,2.427764,0.009994
-0.38,-0.11005,-0.008706,-1.02701,0.009742
-0.375,-0.084925,-0.011721,-4.50691,0.010245
-0.37,-0.072362,-0.013731,-8.175251,0.010747
-0.365,-0.112563,-0.001168,-10.273241,0.009617
-0.36,-0.11005,-0.008706,-6.642588,0.009617
-0.355,-0.072362,-0.009208,-2.974246,0.009617
-0.35,-0.072362,-0.009208,0.694095,0.010747
-0.345,-0.0799,0.00034,4.199121,0.011627
-0.34,-0.11005,-0.009208,7.817211,0.009742
-0.335,-0.072362,-0.011721,9.023241,0.009617
-0.33,-0.08995,-0.009208,5.292085,0.010747
-0.325,-0.0799,-0.001168,1.78706,0.011627
-0.32,-0.072362,-0.009208,-1.83103,0.009742
-0.315,-0.084925,-0.009208,-5.449121,0.009617
-0.31,-0.072362,-0.009208,-8.979271,0.010747
-0.305,-0.105025,-0.001168,-9.305905,0.009617
-0.3,-0.072362,-0.009208,-5.650126,0.011501
-0.295,-0.072362,-0.017248,-2.032035,0.009617
-0.29,-0.072362,-0.009208,1.498116,0.010496
-0.285,-0.0799,-0.001168,5.166457,0.00924
-0.28,-0.074874,-0.009208,8.633794,0.009617
-0.275,-0.072362,-0.009208,8.156407,0.009617
-0.27,-0.094975,-0.009208,4.400126,0.008486
-0.265,-0.072362,-0.001168,0.819724,0.009617
-0.26,-0.072362,-0.00167,-2.63505,0.011501
-0.255,-0.072362,-0.009208,-6.315955,0.009617
-0.25,-0.08995,-0.009208,-9.783292,0.009617
-0.245,-0.0799,-0.001168,-8.464196,0.009617
-0.24,-0.072362,-0.001168,-4.833543,0.009617
-0.235,-0.072362,-0.014736,-1.165201,0.010371
-0.23,-0.072362,-0.012726,2.302136,0.010747
-0.225,-0.072362,-0.001168,6.008166,0.009994
-0.22,-0.074874,-0.001168,9.626256,0.007732
-0.215,-0.1,-0.009208,7.214196,0.008235
-0.21,-0.072362,-0.009208,3.596106,0.010747
-0.205,-0.072362,-0.001168,0.015704,0.009617
-0.2,-0.072362,-0.009208,-3.451633,0.009617
-0.195,-0.1,-0.011721,-7.119975,0.008863
-0.19,-0.072362,-0.009208,-10.675251,0.010747
-0.185,-0.072362,-0.001168,-7.660176,0.00924
-0.18,-0.072362,-0.00167,-3.84108,0.011501
-0.175,-0.084925,-0.009208,-0.361181,0.008235
-0.17,-0.072362,-0.009208,3.194096,0.009617
-0.165,-0.105025,0.005365,6.812186,0.009617
-0.16,-0.11005,-0.009208,10.028266,0.011627
-0.155,-0.072362,-0.009208,6.410176,0.010245
-0.15,-0.112563,-0.009208,2.880025,0.008486
-0.145,-0.0799,-0.001168,-0.788317,0.007984
-0.14,-0.112563,-0.009208,-4.444096,0.009742
