x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-5.000000E+00,-2.404020E+00,-20.101E-03,-21.985E-03,+223.392E-03
-4.995000E+00,-2.404020E+00,-20.101E-03,+3.646357E+00,+223.392E-03
-4.990000E+00,-2.404020E+00,-20.101E-03,+7.314699E+00,+227.412E-03
-4.985000E+00,-2.434171E+00,-20.101E-03,+9.626256E+00,+223.392E-03
-4.980000E+00,-2.404020E+00,-40.201E-03,+6.008166E+00,+223.392E-03
-4.975000E+00,-2.404020E+00,-20.101E-03,+2.239322E+00,+229.422E-03
-4.970000E+00,-2.404020E+00,-20.101E-03,-1.127513E+00,+227.412E-03
-4.965000E+00,-2.404020E+00,-20.101E-03,-4.645101E+00,+229.422E-03
-4.960000E+00,-2.404020E+00,-20.101E-03,-8.263191E+00,+223.392E-03
-4.955000E+00,-2.434171E+00,-20.101E-03,-9.871231E+00,+225.402E-03
-4.950000E+00,-2.404020E+00,-20.101E-03,-6.253141E+00,+231.432E-03
-4.945000E+00,-2.444221E+00,-20.101E-03,-2.685302E+00,+231.432E-03
-4.940000E+00,-2.444221E+00,-20.101E-03,+983.040E-03,+231.432E-03
-4.935000E+00,-2.404020E+00,-25.126E-03,+4.601131E+00,+231.432E-03
-4.930000E+00,-2.424121E+00,-20.101E-03,+8.018216E+00,+231.432E-03
-4.925000E+00,-2.404020E+00,-25.126E-03,+8.671482E+00,+233.442E-03
-4.920000E+00,-2.444221E+00,-20.101E-03,+5.204146E+00,+231.432E-03
-4.915000E+00,-2.404020E+00,-20.101E-03,+1.535804E+00,+231.432E-03
-4.910000E+00,-2.424121E+00,-20.101E-03,-2.032035E+00,+231.432E-03
-4.905000E+00,-2.404020E+00,-35.176E-03,-5.599874E+00,+233.442E-03
-4.900000E+00,-2.444221E+00,-40.201E-03,-9.268216E+00,+231.432E-03
-4.895000E+00,-2.404020E+00,-35.176E-03,-9.067211E+00,+239.472E-03
-4.890000E+00,-2.424121E+00,-20.101E-03,-5.549623E+00,+239.472E-03
-4.885000E+00,-2.414070E+00,-20.101E-03,-1.680276E+00,+233.442E-03
-4.880000E+00,-2.444221E+00,-20.101E-03,+1.586055E+00,+231.432E-03
-4.875000E+00,-2.434171E+00,-20.101E-03,+5.405151E+00,+239.472E-03
-4.870000E+00,-2.404020E+00,-20.101E-03,+8.922739E+00,+239.472E-03
-4.865000E+00,-2.414070E+00,-20.101E-03,+7.867462E+00,+233.442E-03
-4.860000E+00,-2.444221E+00,-40.201E-03,+4.400126E+00,+239.472E-03
-4.855000E+00,-2.404020E+00,-20.101E-03,+782.035E-03,+239.472E-03
-4.850000E+00,-2.404020E+00,-20.101E-03,-2.836055E+00,+247.513E-03
-4.845000E+00,-2.404020E+00,-20.101E-03,-6.403895E+00,+239.472E-03
-4.840000E+00,-2.404020E+00,-40.201E-03,-10.072236E+00,+239.472E-03
-4.835000E+00,-2.434171E+00,-25.126E-03,-8.212940E+00,+241.482E-03
-4.830000E+00,-2.424121E+00,-20.101E-03,-4.544598E+00,+247.513E-03
-4.825000E+00,-2.434171E+00,-20.101E-03,-1.027010E+00,+239.472E-03
-4.820000E+00,-2.404020E+00,-40.201E-03,+2.591080E+00,+239.472E-03
-4.815000E+00,-2.404020E+00,-20.101E-03,+6.209171E+00,+245.503E-03
-4.810000E+00,-2.404020E+00,-20.101E-03,+9.726759E+00,+247.513E-03
